t,x,y,vd,xyd,nd,d,st
18,917.282,1128.87,0.163883,0.163883,6,6.02822,0
18,917.447,1128.88,0.165254,0.165254,6,6.0256,0
18,917.614,1128.88,0.166625,0.166625,6,6.02298,0
18,917.782,1128.89,0.167997,0.167997,6,6.02034,0
18,917.951,1128.89,0.169368,0.169368,6,6.0177,0
18,918.117,1128.89,0.17015,0.17015,6,6.01555,0
19,918.288,1128.9,0.171491,0.171491,6,6.013,0
19,918.461,1128.9,0.172831,0.172831,6,6.01044,0
19,918.635,1128.91,0.174172,0.174172,6,6.00785,0
19,918.811,1128.91,0.175513,0.175513,6,6.00526,0
19,918.63,1128.91,0.166224,0.166224,6,6.008,0
20,918.798,1128.91,0.167577,0.167577,6,6.00562,0
20,918.967,1128.91,0.16893,0.16893,6,6.00323,0
20,919.137,1128.92,0.170284,0.170284,6,6.00082,0
20,919.309,1128.92,0.171637,0.171637,6,5.99838,0
20,919.482,1128.93,0.17299,0.17299,6,5.99593,0
20,919.658,1128.93,0.175973,0.175973,6,5.99377,0
21,919.835,1128.93,0.177279,0.177279,6,5.99129,0
21,920.013,1128.94,0.178585,0.178585,6,5.98877,0
21,920.193,1128.94,0.179891,0.179891,6,5.98623,0
21,920.374,1128.95,0.181197,0.181197,6,5.98366,0
21,920.557,1128.95,0.182503,0.182503,6,5.98106,0
21,920.742,1128.95,0.184884,0.184884,6,5.97903,0
22,920.928,1128.96,0.186153,0.186153,6,5.97652,0
22,921.115,1128.96,0.187422,0.187422,6,5.97397,0
22,921.304,1128.97,0.188691,0.188691,6,5.97137,0
22,921.494,1128.97,0.18996,0.18996,6,5.96873,0
22,921.686,1128.97,0.192236,0.192236,6,5.9665,0
23,921.879,1128.98,0.193463,0.193463,6,5.96437,0
23,922.074,1128.98,0.19469,0.19469,6,5.96217,0
23,922.27,1128.99,0.195917,0.195917,6,5.95991,0
23,922.467,1128.99,0.197144,0.197144,6,5.95759,0
23,922.665,1128.99,0.198371,0.198371,6,5.9552,0
23,922.865,1129,0.200179,0.200179,6,5.95104,0
24,923.067,1129,0.201368,0.201368,6,5.94734,0
24,923.269,1129.01,0.202556,0.202556,6,5.94358,0
24,923.473,1129.02,0.203745,0.203745,6,5.93976,0
24,923.678,1129.02,0.204933,0.204933,6,5.93587,0
24,923.884,1129.03,0.206122,0.206122,6,5.93192,0
25,924.091,1129.03,0.207661,0.207661,6,5.92754,0
25,924.3,1129.04,0.208819,0.208819,6,5.92282,0
25,924.51,1129.05,0.209977,0.209977,6,5.91804,0
25,924.721,1129.05,0.211135,0.211135,6,5.91318,0
25,924.933,1129.06,0.212292,0.212292,6,5.90826,0
25,925.146,1129.07,0.213359,0.213359,6,5.90268,0
26,925.361,1129.07,0.214484,0.214484,6,5.89705,0
26,925.576,1129.08,0.215608,0.215608,6,5.89134,0
26,925.793,1129.09,0.216733,0.216733,6,5.88556,0
26,926.01,1129.1,0.217857,0.217857,6,5.87971,0
26,926.229,1129.11,0.218982,0.218982,6,5.87378,0
27,926.446,1129.11,0.219628,0.219628,6,5.86732,0
27,926.666,1129.12,0.220722,0.220722,6,5.86105,0
27,926.888,1129.13,0.221816,0.221816,6,5.85469,0
27,927.111,1129.14,0.22291,0.22291,6,5.84824,0
27,927.334,1129.15,0.224005,0.224004,6,5.8417,0
27,927.559,1129.16,0.225099,0.225099,6,5.83507,0
28,927.484,1129.15,0.217507,0.217506,6,5.83737,0
28,927.702,1129.16,0.218622,0.218622,6,5.83016,0
28,927.922,1129.17,0.219732,0.219732,6,5.82285,0
28,928.142,1129.18,0.220842,0.220842,6,5.81545,0
28,928.364,1129.19,0.221951,0.221951,6,5.80796,0
29,928.588,1129.2,0.224398,0.224398,6,5.79937,0
29,928.814,1129.21,0.225469,0.225469,6,5.79083,0
29,929.04,1129.22,0.22654,0.22654,6,5.7822,0
29,929.267,1129.23,0.227611,0.227611,6,5.77348,0
29,929.496,1129.24,0.228682,0.228682,6,5.76467,0
29,929.725,1129.25,0.229753,0.229753,6,5.19622,0
30,929.957,1129.27,0.23171,0.23171,6,5.21013,0
30,930.189,1129.28,0.232745,0.232745,6,5.22423,0
30,930.423,1129.29,0.233781,0.233781,6,5.23834,0
30,930.657,1129.3,0.234816,0.234816,6,5.25245,0
30,930.893,1129.31,0.235852,0.235852,6,5.26656,0
31,931.129,1129.32,0.236887,0.236887,6,5.28066,0
31,931.368,1129.34,0.23874,0.238739,6,5.29422,0
31,931.607,1129.35,0.239746,0.239746,6,5.30819,0
31,931.848,1129.36,0.240752,0.240752,6,5.32215,0
31,932.089,1129.37,0.241758,0.241758,6,5.33609,0
31,932.331,1129.38,0.242764,0.242764,6,5.35001,0
32,932.575,1129.4,0.244247,0.244247,6,5.36524,0
32,932.82,1129.41,0.245222,0.245222,6,5.38001,0
32,933.066,1129.42,0.246196,0.246196,6,5.39472,0
32,933.313,1129.43,0.247171,0.247171,6,5.40939,0
32,933.561,1129.44,0.248145,0.248145,6,5.42399,0
33,933.81,1129.46,0.24912,0.24912,6,5.43855,0
33,934.06,1129.47,0.250382,0.250382,6,5.45421,0
33,934.311,1129.48,0.251332,0.251332,6,5.46959,0
33,934.563,1129.49,0.252281,0.252281,6,5.48488,0
33,934.816,1129.51,0.25323,0.25323,6,5.50007,0
34,935.07,1129.52,0.25418,0.25418,6,5.51518,0
34,935.324,1129.53,0.255055,0.255054,6,5.52959,0
34,935.58,1129.55,0.255977,0.255977,6,5.54388,0
34,935.836,1129.56,0.256899,0.256899,6,5.55808,0
34,936.094,1129.57,0.257821,0.257821,6,5.57219,0
35,936.352,1129.59,0.258743,0.258743,6,5.5862,0
35,936.612,1129.6,0.259665,0.259665,6,5.60011,0
35,936.869,1129.61,0.260195,0.260195,6,5.61456,0
35,937.129,1129.63,0.261097,0.261096,6,5.62866,0
35,937.391,1129.64,0.261998,0.261998,6,5.64264,0
35,937.653,1129.66,0.2629,0.2629,6,5.6565,0
36,937.917,1129.67,0.263801,0.263801,6,5.67024,0
36,937.942,1129.68,0.257544,0.257544,6,5.67127,0
36,938.2,1129.69,0.258454,0.258454,6,5.68459,0
36,938.459,1129.71,0.259364,0.259364,6,5.69779,0
36,938.719,1129.72,0.260274,0.260273,6,5.71087,0
37,938.979,1129.74,0.261184,0.261184,6,5.72382,0
37,939.241,1129.75,0.262094,0.262094,6,5.73665,0
37,939.505,1129.77,0.264106,0.264106,6,5.74874,0
37,939.769,1129.79,0.264989,0.264989,6,5.7608,0
37,940.034,1129.8,0.265871,0.265871,6,5.77275,0
38,940.301,1129.82,0.266754,0.266754,6,5.78456,0
38,940.568,1129.84,0.267636,0.267636,6,5.79625,0
38,940.836,1129.85,0.269249,0.269249,6,5.80884,0
38,941.106,1129.87,0.270102,0.270102,6,5.82111,0
38,941.376,1129.89,0.270955,0.270955,6,5.83321,0
39,941.648,1129.91,0.271809,0.271808,6,5.84516,0
39,941.92,1129.92,0.272662,0.272662,6,5.85693,0
39,942.192,1129.94,0.273515,0.273515,6,5.86854,0
39,942.466,1129.96,0.274347,0.274347,6,5.88066,0
39,942.741,1129.98,0.27518,0.27518,6,5.89226,0
39,943.016,1130,0.276012,0.276012,6,5.90368,0
40,943.292,1130.02,0.276845,0.276845,6,5.91492,0
40,943.569,1130.04,0.277677,0.277677,6,5.92597,0
40,943.848,1130.05,0.27958,0.27958,6,5.93753,0
40,944.128,1130.07,0.280383,0.280383,6,5.94859,0
40,944.409,1130.09,0.281186,0.281186,6,5.95945,0
41,944.69,1130.11,0.281989,0.281989,6,5.9701,0
41,944.972,1130.13,0.282792,0.282792,6,5.98053,0
41,945.255,1130.15,0.283595,0.283595,6,5.99075,0
41,945.538,1130.18,0.284378,0.284378,6,5.99988,0
41,945.823,1130.2,0.285162,0.285162,6,6.00917,0
41,946.108,1130.22,0.285945,0.285945,6,6.01825,0
42,946.394,1130.24,0.286729,0.286729,6,6.02713,0
42,946.68,1130.27,0.287512,0.287512,6,6.0358,0
42,946.968,1130.29,0.288527,0.288527,6,6.04565,0
42,947.256,1130.31,0.289291,0.289291,6,6.05488,0
42,947.545,1130.33,0.290054,0.290054,6,6.06387,0
43,947.835,1130.35,0.290817,0.290817,6,6.07262,0
43,948.126,1130.38,0.291581,0.291581,6,6.08111,0
43,948.417,1130.4,0.292269,0.292269,6,6.08974,0
43,948.709,1130.42,0.293014,0.293014,6,6.09803,0
43,949.002,1130.45,0.293759,0.293759,6,6.10607,0
43,949.296,1130.47,0.294504,0.294504,6,6.11383,0
44,949.59,1130.5,0.295249,0.295249,6,6.12133,0
44,949.883,1130.52,0.295692,0.295692,6,6.12786,0
44,950.178,1130.55,0.296417,0.296417,6,6.13432,0
44,950.474,1130.58,0.297142,0.297142,6,6.14052,0
44,950.77,1130.6,0.297867,0.297866,6,6.14645,0
45,951.068,1130.63,0.298591,0.298591,6,6.15212,0
45,951.366,1130.66,0.299316,0.299316,6,6.15752,0
45,951.459,1130.66,0.294268,0.294268,6,6.15912,0
45,951.752,1130.69,0.295003,0.295003,6,6.16433,0
45,952.047,1130.72,0.295738,0.295738,6,6.16927,0
45,952.342,1130.75,0.296473,0.296474,6,6.17393,0
46,952.638,1130.77,0.297208,0.297208,6,6.17832,0
46,952.935,1130.8,0.298838,0.298838,6,6.18238,0
46,953.233,1130.83,0.299551,0.299551,6,6.18594,0
46,953.532,1130.86,0.300264,0.300264,6,6.18922,0
46,953.832,1130.89,0.300977,0.300977,6,6.19222,0
47,954.132,1130.92,0.30169,0.30169,6,6.19493,0
47,954.433,1130.95,0.302983,0.302983,6,6.19772,0
47,954.736,1130.98,0.303676,0.303676,6,6.20014,0
47,955.038,1131.01,0.304369,0.304369,6,6.20225,0
47,955.342,1131.04,0.305061,0.305061,6,6.20406,0
47,955.646,1131.08,0.305754,0.305754,6,6.20556,0
48,955.951,1131.11,0.30644,0.30644,6,6.20649,0
48,956.256,1131.14,0.307113,0.307113,6,6.207,0
48,956.562,1131.17,0.307785,0.307785,6,6.2072,0
48,956.869,1131.21,0.308458,0.308458,6,6.20709,0
48,957.176,1131.24,0.30913,0.309131,6,6.20667,0
49,957.484,1131.28,0.309803,0.309803,6,6.20593,0
