t,x,y,vd,xyd,nd,d,st
83,1025.02,1151.02,0.389957,0.389956,6,6.28182,0
83,1025.38,1151.17,0.390228,0.390228,6,6.28166,0
83,1025.74,1151.32,0.390499,0.390499,6,6.2815,0
83,1026.1,1151.46,0.390836,0.390835,6,6.2805,0
83,1026.46,1151.61,0.391099,0.391099,6,6.27951,0
83,1026.82,1151.76,0.391362,0.391362,6,6.27853,0
84,1027.19,1151.91,0.391625,0.391625,6,6.27756,0
84,1027.55,1152.06,0.391888,0.391888,6,6.2766,0
84,1027.91,1152.21,0.39215,0.39215,6,6.27565,0
84,1028.27,1152.36,0.392408,0.392408,6,6.2745,0
84,1028.64,1152.51,0.392664,0.392663,6,6.27323,0
84,1029,1152.66,0.392919,0.392919,6,6.27195,0
85,1029.36,1152.81,0.393174,0.393174,6,6.27064,0
85,1029.73,1152.96,0.393429,0.393429,6,6.26931,0
85,1030.09,1153.11,0.393685,0.393685,6,6.26796,0
85,1030.39,1153.23,0.391788,0.391788,6,6.26648,0
85,1030.75,1153.38,0.392047,0.392046,6,6.26522,0
85,1031.11,1153.53,0.392305,0.392305,6,6.26388,0
86,1031.48,1153.68,0.392563,0.392563,6,6.26247,0
86,1031.84,1153.83,0.392822,0.392822,6,6.26097,0
86,1032.2,1153.98,0.39308,0.39308,6,6.25939,0
86,1032.57,1154.13,0.393347,0.393347,6,6.25744,0
86,1032.93,1154.28,0.393598,0.393598,6,6.25552,0
86,1033.29,1154.43,0.393849,0.393849,6,6.25348,0
87,1033.66,1154.58,0.3941,0.3941,6,6.25131,0
87,1034.02,1154.73,0.39435,0.39435,6,6.24901,0
87,1034.39,1154.88,0.394601,0.394601,6,6.24659,0
87,1034.75,1155.04,0.395367,0.395367,6,6.245,0
87,1035.12,1155.19,0.395609,0.395609,6,6.2429,0
87,1035.48,1155.34,0.395851,0.395851,6,6.24059,0
88,1035.85,1155.49,0.396093,0.396093,6,6.23808,0
88,1036.22,1155.64,0.396335,0.396335,6,6.23537,0
88,1036.58,1155.8,0.396889,0.396889,6,6.23111,0
88,1036.95,1155.95,0.397122,0.397122,6,6.22685,0
88,1037.31,1156.11,0.397356,0.397356,6,6.2224,0
88,1037.68,1156.26,0.397589,0.397588,6,6.21774,0
89,1038.05,1156.41,0.397823,0.397823,6,6.21291,0
89,1038.41,1156.57,0.398056,0.398056,6,6.20788,0
89,1038.78,1156.73,0.398291,0.398291,6,6.20189,0
89,1039.15,1156.88,0.398518,0.398517,6,6.19615,0
89,1039.51,1157.04,0.398744,0.398744,6,6.19019,0
90,1039.88,1157.19,0.398971,0.398971,6,6.18401,0
90,1040.25,1157.35,0.399198,0.399198,6,6.17761,0
90,1040.61,1157.51,0.399424,0.399424,6,6.17101,0
90,1040.98,1157.66,0.399645,0.399644,6,6.16502,0
90,1041.35,1157.82,0.399865,0.399864,6,6.15843,0
90,1041.72,1157.98,0.400085,0.400085,6,6.15156,0
91,1042.09,1158.14,0.400305,0.400305,6,6.14442,0
91,1042.45,1158.3,0.400525,0.400525,6,6.13702,0
91,1042.82,1158.45,0.400745,0.400745,6,6.12937,0
91,1043.19,1158.61,0.401019,0.401018,6,6.12219,0
91,1043.56,1158.77,0.401232,0.401232,6,6.11471,0
91,1043.93,1158.93,0.401446,0.401446,6,6.1069,0
92,1044.3,1159.09,0.401659,0.401659,6,6.09879,0
92,1044.66,1159.25,0.401873,0.401873,6,6.09037,0
92,1045.03,1159.41,0.402086,0.402086,6,6.08167,0
92,1045.4,1159.57,0.402295,0.402295,6,6.07243,0
92,1045.77,1159.73,0.402503,0.402502,6,6.0632,0
92,1046.14,1159.89,0.40271,0.40271,6,6.05367,0
93,1046.51,1160.05,0.402917,0.402917,6,6.04382,0
93,1046.88,1160.21,0.403125,0.403125,6,6.03369,0
93,1047.25,1160.38,0.403332,0.403332,6,6.02328,0
93,1047.57,1160.51,0.401792,0.401792,6,6.01457,0
93,1047.93,1160.68,0.402001,0.402,6,6.00417,0
94,1048.3,1160.84,0.402211,0.402212,6,5.99347,0
94,1048.67,1161,0.402421,0.402421,6,5.9825,0
94,1049.04,1161.16,0.402631,0.40263,6,5.97127,0
94,1049.41,1161.33,0.402841,0.402841,6,5.9598,0
94,1049.78,1161.49,0.403058,0.403058,6,5.94802,0
95,1050.14,1161.65,0.403262,0.403262,6,5.93595,0
95,1050.51,1161.82,0.403465,0.403465,6,5.92368,0
95,1050.88,1161.98,0.403669,0.403669,6,5.91122,0
95,1051.25,1162.14,0.403872,0.403872,6,5.89858,0
95,1051.62,1162.31,0.404076,0.404076,6,5.83913,0
95,1051.99,1162.47,0.404701,0.404701,6,5.83043,0
96,1052.36,1162.64,0.404896,0.404896,6,5.82149,0
96,1052.73,1162.8,0.405092,0.405092,6,5.81242,0
96,1053.1,1162.97,0.405288,0.405288,6,5.80324,0
96,1053.47,1163.13,0.405483,0.405483,6,5.79396,0
96,1053.84,1163.3,0.405679,0.405679,6,5.78461,0
97,1054.21,1163.46,0.406126,0.406126,6,5.77483,0
97,1054.58,1163.63,0.406315,0.406315,6,5.76513,0
97,1054.95,1163.79,0.406503,0.406503,6,5.75544,0
97,1055.32,1163.96,0.406692,0.406692,6,5.74577,0
97,1055.7,1164.13,0.406881,0.406881,6,5.73613,0
98,1056.07,1164.29,0.40707,0.40707,6,5.72654,0
98,1056.44,1164.46,0.407256,0.407255,6,5.71711,0
98,1056.81,1164.62,0.40744,0.40744,6,5.70738,0
98,1057.18,1164.79,0.407624,0.407624,6,5.69779,0
99,1057.56,1164.96,0.407809,0.407809,6,5.68837,0
99,1057.93,1165.12,0.407993,0.407993,6,5.67913,0
99,1058.3,1165.29,0.408171,0.408171,6,5.6702,0
99,1058.67,1165.45,0.40835,0.40835,6,5.66147,0
99,1059.05,1165.62,0.408529,0.408529,6,5.653,0
100,1059.42,1165.78,0.408708,0.408708,6,5.64479,0
100,1059.8,1165.95,0.408886,0.408886,6,5.63687,0
100,1060.17,1166.11,0.409065,0.409065,6,5.62924,0
100,1060.55,1166.28,0.409287,0.409286,6,5.62096,0
100,1060.92,1166.44,0.409461,0.409461,6,5.61345,0
101,1061.3,1166.61,0.409634,0.409634,6,5.60634,0
101,1061.67,1166.77,0.409807,0.409807,6,5.59966,0
101,1062.05,1166.94,0.409981,0.409981,6,5.59341,0
101,1062.42,1167.1,0.410154,0.410154,6,5.58761,0
101,1062.8,1167.26,0.410324,0.410324,6,5.58293,0
102,1063.18,1167.42,0.410492,0.410492,6,5.57877,0
102,1063.55,1167.59,0.410661,0.410661,6,5.57512,0
102,1063.93,1167.75,0.410829,0.410829,6,5.57199,0
102,1064.31,1167.91,0.410997,0.410997,6,5.56938,0
103,1064.69,1168.07,0.411166,0.411166,6,5.5673,0
103,1065.03,1168.21,0.409913,0.409912,6,5.56722,0
103,1065.4,1168.37,0.410084,0.410084,6,5.56715,0
103,1065.78,1168.53,0.410255,0.410255,6,5.56767,0
103,1066.16,1168.68,0.410426,0.410426,6,5.56877,0
104,1066.54,1168.84,0.410597,0.410597,6,5.57047,0
104,1066.92,1169,0.410775,0.410775,6,5.57267,0
104,1067.3,1169.15,0.410941,0.410942,6,5.57564,0
104,1067.68,1169.31,0.411108,0.411108,6,5.57929,0
104,1068.06,1169.46,0.411275,0.411275,6,5.58362,0
105,1068.44,1169.62,0.411442,0.411442,6,5.58864,0
105,1068.83,1169.77,0.411955,0.411955,6,5.59477,0
105,1069.21,1169.92,0.412115,0.412114,6,5.60169,0
105,1069.59,1170.07,0.412275,0.412276,6,5.60936,0
105,1069.98,1170.22,0.412436,0.412436,6,5.61778,0
106,1070.36,1170.38,0.412596,0.412596,6,5.62694,0
106,1070.74,1170.53,0.412757,0.412757,6,5.63687,0
106,1071.13,1170.67,0.413123,0.413123,6,5.64782,0
106,1071.52,1170.82,0.413279,0.413279,6,5.65977,0
107,1071.9,1170.97,0.413434,0.413434,6,5.67253,0
107,1072.29,1171.12,0.41359,0.41359,6,5.68611,0
107,1072.68,1171.26,0.413745,0.413745,6,5.70052,0
107,1073.06,1171.41,0.413897,0.413897,6,5.71618,0
107,1073.45,1171.55,0.414049,0.414049,6,5.73249,0
108,1073.84,1171.7,0.4142,0.4142,6,5.74968,0
108,1074.23,1171.84,0.414352,0.414352,6,5.76774,0
108,1074.62,1171.98,0.414504,0.414504,6,5.78668,0
108,1075.01,1172.12,0.414652,0.414652,6,5.80658,0
108,1075.4,1172.26,0.4148,0.4148,6,5.82752,0
109,1075.79,1172.4,0.414949,0.414949,6,6.71671,0
109,1076.18,1172.54,0.415098,0.415098,6,6.67636,0
109,1076.57,1172.68,0.41524,0.41524,6,6.63738,0
109,1076.96,1172.82,0.415385,0.415385,6,6.59893,0
109,1077.36,1172.95,0.41553,0.415531,6,6.56142,0
110,1077.75,1173.09,0.415675,0.415675,6,6.52484,0
110,1078.14,1173.22,0.41582,0.41582,6,6.4892,0
110,1078.54,1173.36,0.416,0.415999,6,6.45533,0
110,1078.93,1173.49,0.416141,0.416141,6,6.42218,0
111,1079.33,1173.62,0.416282,0.416283,6,6.38998,0
111,1079.72,1173.75,0.416423,0.416423,6,6.35873,0
111,1080.12,1173.88,0.416565,0.416564,6,6.32843,0
111,1080.51,1174.01,0.416703,0.416703,6,6.29799,0
111,1080.91,1174.14,0.416841,0.416842,6,6.26872,0
112,1081.31,1174.27,0.416979,0.416979,6,6.24047,0
112,1081.7,1174.39,0.417117,0.417118,6,6.21324,0
112,1082.1,1174.52,0.417255,0.417253,6,6.18703,0
112,1082.5,1174.65,0.417391,0.417391,6,6.1616,0
112,1082.9,1174.77,0.417526,0.417526,6,6.13719,0
113,1083.3,1174.89,0.417661,0.41766,6,6.11382,0
113,1083.7,1175.02,0.417796,0.417797,6,6.09151,0
113,1084.06,1175.13,0.416785,0.416785,6,6.07245,0
113,1084.46,1175.25,0.416922,0.416921,6,6.05231,0
114,1084.86,1175.36,0.417059,0.41706,6,6.03322,0
114,1085.26,1175.48,0.417196,0.417196,6,6.01517,0
114,1085.66,1175.6,0.417333,0.417335,6,5.99817,0
114,1086.06,1175.72,0.417482,0.417482,6,5.98102,0
114,1086.46,1175.83,0.417616,0.417617,6,5.96528,0
115,1086.86,1175.95,0.41775,0.417749,6,5.95063,0
115,1087.26,1176.06,0.417884,0.417885,6,5.93706,0
115,1087.67,1176.17,0.418018,0.418016,6,5.92457,0
115,1088.07,1176.29,0.418429,0.418428,6,5.91269,0
115,1088.47,1176.4,0.418558,0.418559,6,5.90221,0
116,1088.88,1176.51,0.418687,0.418687,6,5.89282,0
116,1089.28,1176.62,0.418816,0.418817,6,5.8845,0
116,1089.68,1176.73,0.418946,0.418946,6,5.87726,0
116,1090.09,1176.83,0.419242,0.419242,6,5.87112,0
116,1090.5,1176.94,0.419368,0.419367,6,5.86617,0
117,1090.9,1177.04,0.419494,0.419495,6,5.86228,0
117,1091.31,1177.15,0.41962,0.419619,6,5.85945,0
117,1091.72,1177.25,0.419744,0.419744,6,5.85802,0
117,1092.12,1177.35,0.419867,0.419866,6,5.85748,0
118,1092.53,1177.45,0.419989,0.419991,6,5.85797,0
118,1092.94,1177.55,0.420112,0.420112,6,5.85948,0
118,1093.35,1177.65,0.420235,0.420235,6,5.86202,0
118,1093.76,1177.75,0.420358,0.420357,6,5.8662,0
118,1094.16,1177.85,0.420478,0.420478,6,5.87097,0
119,1094.57,1177.94,0.420597,0.420599,6,5.87673,0
119,1094.98,1178.04,0.420717,0.420717,6,5.88348,0
119,1095.39,1178.13,0.420837,0.420837,6,5.8912,0
119,1095.8,1178.22,0.420953,0.420954,6,5.90049,0
119,1096.22,1178.32,0.42107,0.421069,6,5.91025,0
120,1096.63,1178.41,0.421187,0.421188,6,5.92097,0
120,1097.04,1178.5,0.421304,0.421304,6,5.93263,0
120,1097.45,1178.59,0.421421,0.421422,6,6.61746,0
120,1097.86,1178.67,0.421566,0.421565,6,6.58368,0
121,1098.27,1178.76,0.42168,0.421681,6,6.55055,0
121,1098.69,1178.85,0.421795,0.421795,6,6.51829,0
121,1099.1,1178.93,0.421909,0.42191,6,6.48688,0
121,1099.51,1179.02,0.422023,0.422022,6,6.45666,0
121,1099.93,1179.1,0.422134,0.422135,6,6.4272,0
122,1100.34,1179.18,0.422246,0.422246,6,6.39857,0
122,1100.76,1179.27,0.422358,0.422359,6,6.37076,0
122,1101.17,1179.35,0.422469,0.422469,6,6.34377,0
122,1101.58,1179.43,0.422582,0.422582,6,6.31771,0
122,1102,1179.51,0.422691,0.42269,6,6.29232,0
123,1102.42,1179.58,0.4228,0.4228,6,6.26771,0
123,1102.83,1179.66,0.422909,0.422908,6,6.2439,0
123,1103.25,1179.74,0.423018,0.423019,6,6.22087,0
123,1103.63,1179.81,0.422197,0.422196,6,6.19914,0
123,1104.05,1179.89,0.422308,0.422309,6,6.1768,0
124,1104.46,1179.96,0.42242,0.422421,6,6.15526,0
124,1104.88,1180.04,0.422531,0.42253,6,6.1345,0
124,1105.29,1180.11,0.422655,0.422654,6,6.11437,0
124,1105.71,1180.19,0.422764,0.422763,6,6.09529,0
124,1106.13,1180.26,0.422872,0.422873,6,6.07696,0
125,1106.54,1180.33,0.422981,0.422982,6,6.05937,0
125,1106.96,1180.4,0.42309,0.42309,6,6.04252,0
125,1107.38,1180.47,0.423423,0.423423,6,6.02643,0
125,1107.8,1180.54,0.423528,0.423529,6,6.01116,0
126,1108.22,1180.61,0.423633,0.423633,6,5.99659,0
126,1108.63,1180.68,0.423738,0.423738,6,5.98273,0
126,1109.05,1180.75,0.423843,0.423844,6,5.96956,0
126,1109.47,1180.81,0.424085,0.424084,6,5.95619,0
126,1109.89,1180.88,0.424187,0.424187,6,5.94371,0
127,1110.31,1180.95,0.424288,0.424289,6,5.93193,0
127,1110.73,1181.01,0.42439,0.424391,6,5.92083,0
127,1111.15,1181.08,0.424492,0.424491,6,5.91042,0
127,1111.57,1181.14,0.424591,0.424591,6,5.90229,0
127,1111.99,1181.2,0.424691,0.424691,6,5.89434,0
128,1112.41,1181.27,0.424791,0.424791,6,5.88699,0
128,1112.83,1181.33,0.424891,0.424891,6,5.88024,0
128,1113.25,1181.39,0.42499,0.424989,6,5.87475,0
128,1113.67,1181.45,0.425087,0.425087,6,5.8697,0
128,1114.09,1181.51,0.425185,0.425185,6,5.8652,0
129,1114.51,1181.56,0.425282,0.425283,6,5.86126,0
129,1114.93,1181.62,0.42538,0.425378,6,5.85786,0
129,1115.35,1181.68,0.425473,0.425473,6,5.85508,0
129,1115.78,1181.74,0.425569,0.425569,6,5.85298,0
129,1116.2,1181.79,0.425664,0.425663,6,5.8514,0
130,1116.62,1181.85,0.425759,0.425759,6,5.85032,0
130,1117.04,1181.9,0.425854,0.425854,6,5.84975,0
130,1117.46,1181.96,0.425971,0.425971,6,5.84869,0
130,1117.89,1182.02,0.426064,0.426064,6,5.84821,0
130,1118.31,1182.07,0.426157,0.426158,6,5.84825,0
131,1118.73,1182.13,0.426251,0.42625,6,5.84882,0
131,1119.15,1182.18,0.426342,0.426341,6,5.85041,0
131,1119.58,1182.23,0.426433,0.426433,6,5.85232,0
131,1120,1182.28,0.426524,0.426524,6,5.85471,0
131,1120.42,1182.34,0.426615,0.426615,6,5.85759,0
132,1120.85,1182.39,0.426706,0.426706,6,5.86096,0
132,1121.27,1182.44,0.426796,0.426795,6,5.8638,0
132,1121.69,1182.49,0.426885,0.426885,6,5.86748,0
132,1122.12,1182.54,0.426973,0.426973,6,6.17435,0
133,1122.54,1182.59,0.427062,0.427062,6,6.15624,0
133,1122.97,1182.64,0.427151,0.427151,6,6.1386,0
133,1123.37,1182.69,0.426483,0.426484,6,6.12251,0
133,1123.79,1182.74,0.426574,0.426575,6,6.10566,0
133,1124.21,1182.79,0.426664,0.426665,6,6.08928,0
134,1124.64,1182.83,0.426754,0.426755,6,6.07335,0
134,1125.06,1182.88,0.426844,0.426846,6,6.05788,0
134,1125.49,1182.93,0.426944,0.426944,6,6.04273,0
134,1125.91,1182.98,0.427033,0.427032,6,6.02779,0
134,1126.34,1183.02,0.427121,0.427121,6,6.01332,0
135,1126.76,1183.07,0.427209,0.427208,6,5.99929,0
135,1127.18,1183.12,0.427297,0.427297,6,5.98571,0
135,1127.61,1183.16,0.427565,0.427565,6,5.97208,0
135,1128.04,1183.21,0.42765,0.42765,6,5.95911,0
136,1128.46,1183.25,0.427736,0.427736,6,5.94657,0
136,1128.89,1183.3,0.427821,0.427821,6,5.93448,0
136,1129.31,1183.34,0.428016,0.428017,6,5.92365,0
136,1129.74,1183.38,0.428099,0.428099,6,5.91291,0
136,1130.16,1183.43,0.428182,0.428182,6,5.90257,0
137,1130.59,1183.47,0.428265,0.428265,6,5.89264,0
137,1131.02,1183.51,0.428348,0.428348,6,5.8831,0
137,1131.44,1183.55,0.428429,0.428429,6,5.87371,0
137,1131.87,1183.59,0.428509,0.428509,6,5.86514,0
137,1132.3,1183.63,0.42859,0.42859,6,5.85694,0
138,1132.72,1183.67,0.428671,0.428671,6,5.84912,0
138,1133.15,1183.71,0.428752,0.428752,6,5.84167,0
138,1133.58,1183.75,0.428831,0.428831,6,5.83442,0
138,1134,1183.79,0.42891,0.42891,6,5.82749,0
138,1134.43,1183.83,0.428989,0.428989,6,5.82093,0
139,1134.86,1183.87,0.429068,0.429067,6,5.81474,0
139,1135.28,1183.91,0.429147,0.429147,6,5.80892,0
139,1135.71,1183.95,0.429222,0.429222,6,5.80405,0
139,1136.14,1183.98,0.429299,0.429299,6,5.79946,0
139,1136.57,1184.02,0.429376,0.429376,6,5.79519,0
140,1137,1184.06,0.429453,0.429453,6,5.79125,0
140,1137.42,1184.09,0.42953,0.42953,6,5.78764,0
140,1137.85,1184.13,0.429626,0.429626,6,5.78441,0
140,1138.28,1184.16,0.429701,0.429701,6,5.78176,0
140,1138.71,1184.2,0.429775,0.429776,6,5.77942,0
141,1139.14,1184.23,0.42985,0.42985,6,5.77738,0
141,1139.56,1184.27,0.429925,0.429925,6,5.77564,0
141,1139.99,1184.3,0.429999,0.429998,6,5.7748,0
141,1140.42,1184.33,0.430072,0.430072,6,5.77388,0
141,1140.85,1184.37,0.430145,0.430145,6,5.77323,0
142,1141.28,1184.4,0.430218,0.430218,6,5.77287,0
142,1141.71,1184.43,0.430291,0.430291,6,5.77279,0
142,1142.14,1184.46,0.430363,0.430362,6,5.7726,0
142,1142.57,1184.5,0.430434,0.430434,6,5.7727,0
142,1143,1184.53,0.430506,0.430506,6,5.77308,0
143,1143.43,1184.56,0.430578,0.430578,6,5.77376,0
143,1143.84,1184.59,0.430038,0.430038,6,5.77486,0
143,1144.26,1184.62,0.430111,0.430111,6,5.77596,0
143,1144.69,1184.65,0.430184,0.430184,6,5.77735,0
143,1145.12,1184.68,0.430257,0.430257,6,5.77902,0
144,1145.55,1184.72,0.43033,0.43033,6,5.78098,0
144,1145.98,1184.75,0.430411,0.43041,6,5.78234,0
144,1146.41,1184.78,0.430482,0.430482,6,5.78444,0
144,1146.84,1184.81,0.430553,0.430553,6,5.78682,0
144,1147.27,1184.84,0.430625,0.430625,6,5.78949,0
145,1147.7,1184.87,0.430696,0.430696,6,5.79244,0
145,1148.13,1184.9,0.430912,0.430912,6,5.7954,0
145,1148.56,1184.93,0.430981,0.430981,6,5.79858,0
145,1148.99,1184.96,0.43105,0.43105,6,5.80204,0
145,1149.42,1184.98,0.431119,0.431119,6,5.80578,0
146,1149.85,1185.01,0.431277,0.431277,6,5.80994,0
146,1150.28,1185.04,0.431344,0.431344,6,5.81409,0
146,1150.71,1185.07,0.431411,0.431411,6,5.81851,0
146,1151.14,1185.1,0.431478,0.431478,6,5.82321,0
146,1151.57,1185.13,0.431545,0.431545,6,5.82817,0
147,1152,1185.15,0.43161,0.43161,6,5.83434,0
147,1152.43,1185.18,0.431676,0.431676,6,5.84052,0
147,1152.86,1185.2,0.431741,0.431741,6,5.84692,0
147,1153.29,1185.23,0.431806,0.431806,6,5.85353,0
147,1153.73,1185.26,0.431872,0.431872,6,5.86036,0
148,1154.16,1185.28,0.431936,0.431936,6,5.86889,0
148,1154.59,1185.31,0.431999,0.431999,6,6.04786,0
148,1155.02,1185.33,0.432063,0.432063,6,6.04379,0
148,1155.45,1185.35,0.432127,0.432127,6,6.03987,0
148,1155.88,1185.38,0.432191,0.432191,6,6.0361,0
149,1156.31,1185.4,0.432252,0.432251,6,6.03245,0
149,1156.75,1185.43,0.432314,0.432314,6,6.02892,0
149,1157.18,1185.45,0.432376,0.432376,6,6.02553,0
149,1157.61,1185.47,0.432438,0.432438,6,6.02227,0
149,1158.04,1185.5,0.4325,0.4325,6,6.01916,0
150,1158.47,1185.52,0.432577,0.432577,6,6.01512,0
150,1158.9,1185.55,0.432638,0.432638,6,6.01145,0
150,1159.34,1185.57,0.432699,0.432699,6,6.00795,0
150,1159.77,1185.59,0.432759,0.432759,6,6.00461,0
150,1160.2,1185.62,0.43282,0.43282,6,6.00143,0
151,1160.63,1185.64,0.432879,0.432879,6,5.99948,0
151,1161.06,1185.66,0.432938,0.432938,6,5.99732,0
151,1161.5,1185.68,0.432997,0.432997,6,5.99528,0
151,1161.93,1185.71,0.433056,0.433056,6,5.99335,0
151,1162.36,1185.73,0.433115,0.433115,6,5.99154,0
152,1162.79,1185.75,0.433174,0.433173,6,5.9901,0
152,1163.23,1185.77,0.433232,0.433232,6,5.98861,0
152,1163.66,1185.79,0.433289,0.433289,6,5.98721,0
152,1164.09,1185.82,0.433347,0.433347,6,5.98591,0
152,1164.53,1185.84,0.433405,0.433405,6,5.98469,0
153,1164.94,1185.86,0.432971,0.43297,6,5.98292,0
153,1165.37,1185.88,0.433029,0.433029,6,5.98122,0
153,1165.81,1185.9,0.433088,0.433088,6,5.97963,0
153,1166.24,1185.92,0.433147,0.433146,6,5.97815,0
153,1166.67,1185.95,0.433205,0.433205,6,5.97677,0
154,1167.1,1185.97,0.43327,0.43327,6,5.97534,0
154,1167.54,1185.99,0.433328,0.433328,6,5.97389,0
154,1167.97,1186.01,0.433385,0.433385,6,5.97255,0
154,1168.4,1186.03,0.433442,0.433442,6,5.97131,0
154,1168.84,1186.05,0.433499,0.433499,6,5.97017,0
154,1169.27,1186.08,0.433747,0.433747,6,5.96812,0
155,1169.7,1186.1,0.433802,0.433802,6,5.96643,0
155,1170.14,1186.12,0.433857,0.433857,6,5.96486,0
155,1170.57,1186.14,0.433912,0.433912,6,5.96342,0
155,1171,1186.16,0.433967,0.433967,6,5.96209,0
155,1171.44,1186.19,0.43402,0.43402,6,5.96058,0
156,1171.87,1186.21,0.434074,0.434074,6,5.95921,0
156,1172.3,1186.23,0.434128,0.434128,6,5.95795,0
156,1172.74,1186.25,0.434181,0.434181,6,5.95681,0
156,1173.17,1186.27,0.434235,0.434234,6,5.95577,0
156,1173.6,1186.3,0.434287,0.434287,6,5.95394,0
156,1174.04,1186.32,0.43434,0.43434,6,5.95271,0
157,1174.47,1186.34,0.434392,0.434392,6,5.95158,0
157,1174.9,1186.36,0.434444,0.434444,6,5.95055,0
157,1175.34,1186.38,0.434496,0.434496,6,5.94962,0
157,1175.77,1186.4,0.434546,0.434546,6,5.94786,0
157,1176.21,1186.43,0.434597,0.434596,6,5.94628,0
158,1176.64,1186.45,0.434648,0.434648,6,5.94963,0
158,1177.07,1186.47,0.434699,0.434699,6,5.9479,0
158,1177.51,1186.49,0.43475,0.43475,6,5.94629,0
158,1177.94,1186.51,0.434813,0.434813,6,5.94412,0
158,1178.38,1186.54,0.434863,0.434863,6,5.94237,0
158,1178.81,1186.56,0.434913,0.434913,6,5.94071,0
159,1179.25,1186.58,0.434963,0.434963,6,5.93914,0
159,1179.68,1186.6,0.435012,0.435012,6,5.93766,0
159,1180.11,1186.62,0.435061,0.435061,6,5.93532,0
159,1180.55,1186.65,0.435109,0.435109,6,5.93323,0
159,1180.98,1186.67,0.435158,0.435157,6,5.93124,0
160,1181.42,1186.69,0.435206,0.435206,6,5.92934,0
160,1181.85,1186.71,0.435255,0.435255,6,5.92752,0
160,1182.29,1186.73,0.435303,0.435303,6,5.92538,0
160,1182.72,1186.76,0.43535,0.43535,6,5.92368,0
160,1183.16,1186.78,0.435397,0.435397,6,5.92205,0
160,1183.59,1186.8,0.435444,0.435444,6,5.92047,0
161,1184.03,1186.82,0.435492,0.435492,6,5.91895,0
161,1184.45,1186.84,0.435136,0.435136,6,5.91715,0
161,1184.88,1186.86,0.435184,0.435184,6,5.91546,0
161,1185.32,1186.89,0.435232,0.435232,6,5.91382,0
161,1185.75,1186.91,0.43528,0.43528,6,5.91223,0
161,1186.19,1186.93,0.435328,0.435328,6,5.91068,0
162,1186.62,1186.95,0.435382,0.435382,6,5.91035,0
162,1187.06,1186.97,0.435429,0.435429,6,5.90972,0
162,1187.49,1186.99,0.435476,0.435475,6,5.90907,0
162,1187.93,1187.01,0.435523,0.435523,6,5.90841,0
162,1188.36,1187.03,0.435569,0.435569,6,5.90773,0
163,1188.8,1187.05,0.435773,0.435773,6,5.90673,0
163,1189.23,1187.08,0.435818,0.435818,6,5.90581,0
163,1189.67,1187.1,0.435863,0.435862,6,5.90486,0
163,1190.1,1187.12,0.435907,0.435907,6,5.90389,0
163,1190.54,1187.14,0.435952,0.435952,6,5.9029,0
163,1190.98,1187.16,0.435997,0.435997,6,5.9019,0
164,1191.41,1187.18,0.436041,0.436041,6,5.90102,0
164,1191.85,1187.2,0.436084,0.436084,6,5.90038,0
164,1192.28,1187.22,0.436128,0.436128,6,5.8997,0
164,1192.72,1187.24,0.436172,0.436172,6,5.89896,0
164,1193.15,1187.26,0.436216,0.436215,6,5.89818,0
164,1193.59,1187.28,0.436259,0.436259,6,5.89771,0
165,1194.02,1187.31,0.436301,0.4363,6,5.8969,0
165,1194.46,1187.33,0.436344,0.436344,6,5.89604,0
165,1194.9,1187.35,0.436386,0.436386,6,5.89512,0
165,1195.33,1187.37,0.436429,0.436429,6,5.89416,0
165,1195.77,1187.39,0.436471,0.436471,6,5.89317,0
165,1196.2,1187.41,0.436512,0.436512,6,5.89271,0
166,1196.64,1187.43,0.436553,0.436552,6,5.89179,0
166,1197.08,1187.45,0.436594,0.436594,6,5.89081,0
166,1197.51,1187.47,0.436636,0.436636,6,5.88979,0
166,1197.95,1187.5,0.436677,0.436677,6,5.88872,0
166,1198.38,1187.52,0.436729,0.436729,6,5.88645,0
166,1198.82,1187.54,0.436769,0.436769,6,5.88438,0
167,1199.26,1187.56,0.436809,0.436809,6,5.88232,0
167,1199.69,1187.59,0.43685,0.43685,6,5.88027,0
167,1200.13,1187.61,0.43689,0.43689,6,5.87823,0
167,1200.56,1187.63,0.43693,0.43693,6,5.87623,0
167,1201,1187.65,0.436969,0.436969,6,5.87269,0
167,1201.44,1187.68,0.437008,0.437008,6,5.86974,0
168,1201.87,1187.7,0.437047,0.437047,6,5.86687,0
168,1202.31,1187.72,0.437087,0.437087,6,5.86409,0
168,1202.75,1187.75,0.437126,0.437126,6,5.86141,0
168,1203.18,1187.77,0.437165,0.437165,6,5.92709,0
168,1203.62,1187.79,0.437203,0.437203,6,5.91907,0
168,1204.06,1187.81,0.437241,0.437241,6,5.91118,0
169,1204.49,1187.84,0.437279,0.437279,6,5.90341,0
169,1204.93,1187.86,0.437317,0.437317,6,5.89578,0
169,1205.37,1187.88,0.437355,0.437355,6,5.88829,0
169,1205.79,1187.9,0.437075,0.437075,6,5.8816,0
169,1206.23,1187.92,0.437113,0.437113,6,5.87453,0
169,1206.67,1187.94,0.437152,0.437151,6,5.86763,0
170,1207.1,1187.97,0.43719,0.43719,6,5.8609,0
170,1207.54,1187.99,0.437228,0.437228,6,5.85434,0
170,1207.98,1188.01,0.437267,0.437267,6,5.84795,0
170,1208.41,1188.03,0.437434,0.437434,6,5.84202,0
